id,code_id_1,code_id_2,label
195,1328,1329,1
158,1254,1255,1
1004,1044,1079,1
741,792,799,1
516,501,558,0
1079,1160,1163,1
328,304,349,0
343,304,364,1
610,638,653,1
1061,1566,1567,1
147,1232,1233,1
105,109,122,1
557,505,599,1
279,285,299,1
376,378,405,1
580,526,622,1
773,773,834,1
801,792,863,1
913,784,976,1
721,773,774,1
362,376,389,1
1016,1029,1091,1
768,767,829,1
543,501,585,0
839,792,902,1
755,792,815,1
349,304,370,0
676,703,725,1
114,109,131,1
42,10,53,1
782,784,844,1
1082,1160,1166,0
112,109,129,1
687,701,736,1
300,304,321,1
525,508,567,0
148,1234,1235,1
1028,1528,1529,1
152,1242,1243,1
165,1268,1269,1
758,773,818,1
310,304,331,1
247,1432,1433,1
602,638,645,0
1053,1550,1551,1
593,501,635,1
690,703,739,1
91,60,107,0
744,767,803,1
614,638,657,1
459,444,494,1
1041,1029,1116,1
401,378,430,1
949,993,1013,0
162,1262,1263,1
374,378,402,1
821,821,884,1
994,1027,1068,1
901,792,964,1
62,63,77,1
142,1222,1223,1
915,821,978,1
303,304,324,1
226,1390,1391,1
885,771,948,1
80,63,95,1
996,1038,1070,1
1062,1568,1569,1
1039,1534,1535,1
817,792,880,1
709,701,758,1
256,1450,1451,1
273,285,293,1
108,109,125,1
494,508,535,0
172,1282,1283,1
739,796,797,1
202,1342,1343,1
699,701,748,1
747,771,806,1
483,508,523,0
315,304,336,0
762,767,823,1
323,304,344,0
316,304,337,1
993,1066,1067,1
534,501,576,1
545,508,587,1
63,63,78,1
406,431,436,1
856,840,919,1
548,517,590,0
78,63,93,0
484,508,524,0
896,773,959,1
848,792,911,1
706,703,755,1
620,638,663,1
179,1296,1297,1
490,517,531,0
756,792,816,1
438,448,473,1
491,512,532,0
616,638,659,1
290,304,311,0
296,304,317,1
911,800,974,1
621,638,664,1
16,16,23,1
312,304,333,1
355,378,379,1
565,517,607,0
562,501,604,1
166,1270,1271,1
532,517,574,0
646,638,689,1
713,701,762,1
1057,1558,1559,1
501,508,542,0
581,508,623,0
25,6,34,1
276,285,296,1
193,1324,1325,1
637,638,680,0
714,703,763,1
23,6,32,1
1066,1576,1577,1
530,508,572,0
937,993,1001,1
51,60,65,0
395,376,424,1
1073,1588,1589,1
684,703,733,1
955,993,1019,1
981,1044,1053,1
168,1274,1275,1
643,638,686,0
1031,1038,1106,1
293,304,314,0
717,712,766,1
943,993,1007,1
335,304,356,1
96,109,113,1
712,701,761,1
997,1496,1497,1
664,710,711,1
910,792,973,1
422,444,456,1
622,638,665,1
754,800,814,1
846,778,909,1
100,109,117,1
150,1238,1239,1
613,638,656,0
666,710,714,1
822,773,885,1
216,1370,1371,1
876,800,939,1
1037,1029,1112,1
790,792,852,1
1069,1580,1581,1
769,800,830,1
492,501,533,1
858,778,921,1
344,304,365,0
113,109,130,1
210,1358,1359,1
125,1188,1189,1
781,792,843,1
1023,1038,1098,1
929,864,992,1
698,701,747,1
467,501,503,1
425,444,459,1
263,1464,1465,1
971,1476,1477,1
372,376,400,1
871,773,934,1
104,109,121,1
117,132,135,1
423,444,457,1
451,448,486,1
201,1340,1341,1
498,505,539,0
983,1055,1056,1
753,784,813,1
311,304,332,0
778,773,839,1
670,718,719,1
182,1302,1303,1
840,821,903,1
642,638,685,1
828,821,891,1
672,703,721,1
253,1444,1445,1
397,376,426,1
26,35,36,1
13,6,20,1
171,1280,1281,1
431,444,465,1
391,380,420,1
555,508,597,0
673,701,722,1
576,517,618,0
61,63,76,1
24,0,33,1
552,508,594,0
975,1035,1046,1
47,6,59,1
251,1440,1441,1
902,767,965,1
127,1192,1193,1
736,792,793,1
126,1190,1191,1
601,638,644,1
603,638,646,0
757,784,817,1
718,767,768,1
1048,1540,1541,1
333,304,354,1
917,800,980,1
370,374,398,1
353,374,375,1
203,1344,1345,1
208,1354,1355,1
185,1308,1309,1
725,778,779,1
608,638,651,1
396,380,425,1
766,767,827,1
326,304,347,0
807,792,870,1
869,767,932,1
677,703,726,1
1068,1149,1150,1
205,1348,1349,1
805,792,868,1
507,501,549,1
835,821,898,1
940,993,1004,1
307,304,328,0
90,63,106,0
496,512,537,0
242,1422,1423,1
373,382,401,1
923,773,986,1
974,1044,1045,1
103,109,120,1
895,821,958,1
324,304,345,0
29,39,40,1
118,132,136,1
170,1278,1279,1
129,1196,1197,1
428,442,462,1
320,304,341,1
777,767,838,1
897,792,960,1
862,821,925,1
489,505,530,0
806,767,869,1
510,505,552,0
705,712,754,1
321,304,342,0
1009,1035,1084,1
586,501,628,0
635,638,678,1
926,800,989,1
442,444,477,1
302,304,323,0
844,796,907,1
970,1038,1040,1
384,376,413,1
536,501,578,1
535,505,577,0
101,109,118,1
138,1214,1215,1
134,1206,1207,1
624,638,667,1
19,2,27,1
591,512,633,0
245,1428,1429,1
503,508,545,1
927,771,990,1
243,1424,1425,1
826,771,889,1
1021,1027,1096,1
7,2,12,1
9,6,14,1
1058,1560,1561,1
85,100,101,1
1081,1160,1165,0
383,380,412,1
419,444,453,1
512,508,554,1
784,840,846,1
743,767,802,1
69,63,84,1
41,10,52,1
550,543,592,1
1045,1038,1120,1
183,1304,1305,1
674,718,723,1
566,501,608,1
369,374,397,1
567,526,609,0
430,444,464,0
445,444,480,1
136,1210,1211,1
267,285,287,1
919,800,982,1
4,0,8,1
813,840,876,1
968,1474,1475,1
891,773,954,1
1044,1038,1119,1
332,304,353,0
722,771,775,1
701,703,750,1
415,448,449,1
671,707,720,1
992,1038,1065,1
924,767,987,1
916,771,979,1
746,771,805,1
859,769,922,1
737,792,794,1
153,1244,1245,1
188,1314,1315,1
890,792,953,1
11,16,17,1
799,787,861,1
499,501,540,0
914,773,977,1
240,1418,1419,1
139,1216,1217,1
218,1374,1375,1
599,638,642,0
486,526,527,0
86,1182,1183,1
278,285,298,1
866,792,929,1
984,1486,1487,1
553,508,595,0
289,304,310,1
329,304,350,1
220,1378,1379,1
585,505,627,1
244,1426,1427,1
1024,1520,1521,1
978,1480,1481,1
1014,1512,1513,1
284,304,305,1
588,526,630,0
925,787,988,1
482,512,522,0
480,501,520,0
986,1029,1059,1
651,638,694,1
802,864,865,1
644,638,687,1
726,767,780,1
1035,1038,1110,1
880,771,943,1
969,1038,1039,1
110,109,127,0
818,771,881,1
456,444,491,1
531,501,573,1
625,638,668,1
133,1204,1205,1
49,60,62,0
1049,1542,1543,1
144,1226,1227,1
988,1038,1061,1
83,60,98,0
615,638,658,0
452,444,487,1
1064,1572,1573,1
877,769,940,1
1038,1532,1533,1
954,993,1018,0
265,1468,1469,1
222,1382,1383,1
899,792,962,1
33,30,44,1
627,638,670,0
1025,1522,1523,1
228,1394,1395,1
331,304,352,1
719,769,770,1
942,993,1006,1
629,638,672,1
703,703,752,1
58,63,73,0
669,703,717,1
752,767,812,1
408,431,438,1
783,767,845,1
327,304,348,1
444,446,479,1
506,501,548,0
28,6,38,1
1029,1029,1104,1
236,1410,1411,1
440,442,475,1
867,771,930,1
378,376,407,1
334,304,355,0
56,60,71,1
